Origin,Destination,Aircraft_Code,Engine_Code,Distance_km,Fuel_Burn_kg,CO2_kg,Weather_Penalty_Index,Adjusted_Fuel_Burn_kg,Adjusted_CO2_kg,Callsign,FlightDate,Holding_Loop_Detected,Altitude_Drift,Unplanned_Reroute,Deviation_km,RTK,CO2_per_RTK,Predicted_CO2_per_RTK,esg_match_percent,SHAP_Top_Feature,route_efficiency_score,fuel_savings_if_alt_route,recommended_reroute_flag,suggested_reroute_distance_km,suggested_reroute_co2_saving_kg,ESG_Benchmark_Score,Seat_Count,Estimated_Passengers,ASK,RPK,Revenue,Yield_USD_per_RPK,callsign,number,aircraft_uid,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2,load_factor
KBOS,OMDB,B77W,GE90-115B,10702.117556465317,166348.67900708204,525661.8256623793,0.0425132880103214,7897.790641827864,24957.018428176052,EY1468,2026-05-10,1,,False,0.0,963190.58,565.9,0.5129359370484285,94.01577873595237,Distance_km,1.0,0.0,0.0,10702.117556465317,0.0,PASS,368.0,300,3938379.260779237,3150703.408623389,378084.4090348067,0.12,,,,,,,,,,,,,,,,0.8152252005476053
WSSS,OMDB,B77W,GE90-115B,5846.662294552086,90877.76733602608,287173.7447818424,0.0437165545427148,4272.015220744826,13499.568097553654,EY8231,2026-02-23,1,,False,0.0,526199.61,560.31,0.5306681474885144,96.78635769993144,Distance_km,1.0,0.0,0.0,5846.662294552086,0.0,PASS,368.0,293,2151571.7243951675,1721257.3795161345,206550.8855419361,0.1199999999999999,,,,,,,,,,,,,,,,0.7972743128175954
VECC,OMDB,B77W,GE90-115B,3365.806645906652,52316.51459496316,165320.18612008358,0.0570341650844391,2455.818374660039,7760.386063925724,EY7291,2026-04-03,1,,False,0.0,302922.6,559.51,0.522582993664673,93.01349175868056,Distance_km,1.0,0.0,0.0,3365.806645906652,0.0,PASS,368.0,317,1238616.845693648,990893.4765549186,118907.21718659022,0.12,,,,,,,,,,,,,,,,0.862176612792079
LEMD,OMDB,B77W,GE90-115B,5648.827179666825,87802.71140912717,277456.5680528419,0.0418146820774348,4128.0972687573885,13044.78736927335,EY7641,2025-11-16,1,,False,409.0115184320225,508394.45,560.39,0.506980560286342,92.0421776943172,Distance_km,0.9276,258.5,0.0,5239.815661234803,258.5,PASS,368.0,312,2078768.402117392,1663014.7216939137,199561.7666032696,0.12,,,,,,,,,,,,,,,,0.8487802033167349
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,47264.40194624096,149355.51015012144,0.0680985649450942,2242.349359795909,7085.823976955072,EY8707,2027-04-23,1,,False,0.0,273669.9,565.48,0.5206198412588211,93.1382221219904,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,281,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,,0.7643133294755285
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0217107907352444,623.628195166394,1970.6650967258051,EY4525,2026-07-22,1,,False,0.0,78570.74,547.78,0.5084857598988953,93.26848118087923,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,299,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.813093157551803
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,38464.58825793909,121548.09889508752,0.0304306865953507,1817.1490900326962,5742.191124503321,EY5089,2025-05-09,1,,False,0.0,229212.7,547.14,0.5189030238439759,94.50322425516444,Distance_km,1.0,0.0,0.0,2546.807816044138,0.0,PASS,368.0,288,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,,,,,,,,,,,,,,,,0.7813075588023988
KBOS,OMDB,B77W,GE90-115B,10702.117556465317,161634.7109916225,510765.6867335271,0.0271795179635136,7576.372210410245,23941.336184896376,EY6084,2025-10-17,1,,False,0.0,963190.58,542.87,0.526961603602832,95.76755642603828,Distance_km,1.0,0.0,0.0,10702.117556465317,0.0,PASS,368.0,298,3938379.260779237,3150703.408623389,378084.4090348067,0.12,,,,,,,,,,,,,,,,0.810759148325464
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,41892.25472058189,132379.5249170388,0.0318301186214803,1976.7224430939539,6246.442920176894,EY7666,2026-01-25,1,,False,0.0,242564.15,562.42,0.5165405146941966,95.05734577988956,Distance_km,1.0,0.0,0.0,2695.157168672011,0.0,PASS,368.0,276,991817.8380713,793454.27045704,95214.5124548448,0.12,,,,,,,,,,,,,,,,0.750534110724566
HKJK,OMDB,B77W,GE90-115B,3559.243502013245,55323.20605717528,174821.3311406739,0.0238040379500982,2606.3291999971443,8236.000271990975,EY6476,2027-04-04,1,,False,0.0,320331.92,561.53,0.5235154949494573,96.57390230716142,Distance_km,1.0,0.0,0.0,3559.243502013245,0.0,PASS,368.0,324,1309801.608740874,1047841.2869926994,125740.95443912392,0.12,,,,,,,,,,,,,,,,0.8791893454017055
VCBI,OMDB,B77W,GE90-115B,3288.155168291381,49661.200927596976,156929.39493120645,0.0480029645877964,2334.393070135258,7376.682101627414,EY6371,2027-02-01,1,,False,0.0,295933.97,544.41,0.520314592765904,95.3298905583498,Distance_km,1.0,0.0,0.0,3288.155168291381,0.0,PASS,368.0,277,1210041.1019312283,968032.8815449828,116163.94578539793,0.12,,,,,,,,,,,,,,,,0.7535008515768237
OPIS,OMDB,B77W,GE90-115B,1925.5193500604628,29081.23200980729,91896.69315099104,0.0291862146751818,1376.7415294941304,4350.503233201452,EY2066,2027-03-02,1,,False,0.0,173296.74,548.28,0.5316320709824902,97.15086234998778,Distance_km,1.0,0.0,0.0,1925.5193500604628,0.0,PASS,368.0,318,708591.1208222503,566872.8966578003,68024.74759893604,0.12,,,,,,,,,,,,,,,,0.8629553702615305
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,32979.01141326143,104213.67606590613,0.0605431602996321,1554.3422279921622,4911.721440455232,EY8847,2025-11-23,1,,False,0.0,196523.83,545.85,0.5254574947075139,93.91743244223316,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,301,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,,0.8191740825406423
DNMM,OMDB,B77W,GE90-115B,5895.900658579161,89046.13446420686,281385.7849068937,0.0271800397386841,4167.079569551685,13167.971439783327,EY8471,2025-10-26,1,,False,0.0,530631.06,541.98,0.5437905223245743,97.52196159633348,Distance_km,1.0,0.0,0.0,5895.900658579161,0.0,PASS,368.0,282,2169691.442357132,1735753.1538857052,208290.3784662846,0.12,,,,,,,,,,,,,,,,0.7658309910206177
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,41892.25472058189,132379.5249170388,0.0376358574589203,1970.5136205406236,6226.823040908372,EY5447,2025-11-29,1,,False,0.0,242564.15,560.66,0.5146771425625318,93.44871324091712,Distance_km,1.0,0.0,0.0,2695.157168672011,0.0,PASS,368.0,299,991817.8380713,793454.27045704,95214.5124548448,0.12,,,,,,,,,,,,,,,,0.8137505605903131
VABB,OMDB,B77W,GE90-115B,1926.162367196581,29090.943535438622,91927.38157198606,0.0248927743223783,1364.9717488333592,4313.310726313416,EY3002,2025-04-19,1,,False,0.0,173354.61,543.42,0.527274019026494,96.7612863681198,Distance_km,1.0,0.0,0.0,1926.162367196581,0.0,PASS,368.0,278,708827.7511283418,567062.2009026735,68047.46410832083,0.12,,,,,,,,,,,,,,,,0.7566915381968107
VOMM,OMDB,B77W,GE90-115B,2933.1724707086787,45591.8525682389,144070.25411563495,0.0506739026035176,2130.834697101496,6733.437642840728,EY7685,2025-06-10,1,,False,0.0,263985.52,557.07,0.5392067488231989,97.87719851487174,Distance_km,1.0,0.0,0.0,2933.1724707086787,0.0,PASS,368.0,299,1079407.4692207938,863525.9753766351,103623.1170451962,0.12,,,,,,,,,,,,,,,,0.8124739227146767
OIIE,OMDB,B77W,GE90-115B,1199.8636074996691,18121.610644279703,57264.28963592387,0.0621096109116214,859.8319541039128,2717.0689749683647,EY1590,2027-06-06,1,,False,0.0,107987.72,549.52,0.5027836684318878,92.7282030320924,Distance_km,1.0,0.0,0.0,1199.8636074996691,0.0,PASS,368.0,289,441549.8075598782,353239.84604790265,42388.78152574832,0.12,,,,,,,,,,,,,,,,0.7846314670054714
LFMN,OMDB,B77W,GE90-115B,4783.885041020725,72251.29717953842,228314.09908734143,0.048785566205399,3406.5564245654855,10764.718301626932,EY3406,2025-08-26,1,,False,0.0,430549.65,546.05,0.5231135107842162,95.16932505329405,Distance_km,1.0,0.0,0.0,4783.885041020725,0.0,PASS,368.0,312,1760469.6950956269,1408375.7560765017,169005.0907291802,0.12,,,,,,,,,,,,,,,,0.8483770490622716
EHAM,OMDB,B77W,GE90-115B,5168.63641597926,78062.219827971,246676.6146563884,0.0353244508562505,3655.659401029495,11551.883707253204,EY4617,2025-08-20,1,,False,0.0,465177.28,542.36,0.5079430482876628,92.69523183654525,Distance_km,1.0,0.0,0.0,5168.63641597926,0.0,PASS,368.0,289,1902058.201080368,1521646.5608642944,182597.5873037153,0.12,,,,,,,,,,,,,,,,0.7860717164415028
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,32979.01141326143,104213.67606590613,0.0459798065090581,1569.9890777247879,4961.16548561033,EY6003,2025-03-31,1,,False,0.0,196523.83,551.35,0.5071657289305159,92.33772397954502,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,304,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,,0.8253309912772142
ESSA,OMDB,B77W,GE90-115B,4785.109322222877,74377.48748848077,235032.86046359924,0.0625499548119845,3506.3756364696787,11080.147011244186,EY6947,2026-01-24,1,,False,0.0,430659.84,561.91,0.5114878973706871,94.33571424826368,Distance_km,1.0,0.0,0.0,4785.109322222877,0.0,PASS,368.0,282,1760920.2305780188,1408736.1844624153,169048.34213548983,0.12,,,,,,,,,,,,,,,,0.7675139321888419
OEDF,OMDB,B77W,GE90-115B,573.1578950522307,8908.896599329497,28152.113253881213,0.0636890462520571,423.3116102448694,1337.6646883737874,EY3730,2026-05-13,1,,False,0.0,51584.21,566.35,0.5182633490896892,92.5810382223306,Distance_km,1.0,0.0,0.0,573.1578950522307,0.0,PASS,368.0,302,210922.1053792209,168737.68430337674,20248.52211640521,0.12,,,,,,,,,,,,,,,,0.8206156042714676
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0464076218085936,626.1556572606195,1978.651876943558,EY3683,2025-11-25,1,,False,0.0,78570.74,550.0,0.5458825459917014,96.94609716245654,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,289,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.7859654028340377
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0598987126253983,622.4612271678433,1966.9774778503847,EY7541,2026-11-18,1,,False,0.0,78570.74,546.76,0.531526047031121,97.1759343297767,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,300,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.8153795175086953
VCBI,OMDB,B77W,GE90-115B,3288.155168291381,49661.200927596976,156929.39493120645,0.0600820228624936,2351.869448555876,7431.907457436568,EY5960,2027-02-17,1,,False,0.0,295933.97,548.48,0.5277216281761062,95.70002761237812,Distance_km,1.0,0.0,0.0,3288.155168291381,0.0,PASS,368.0,321,1210041.1019312283,968032.8815449828,116163.94578539793,0.12,,,,,,,,,,,,,,,,0.871754862599921
LPPT,OMDB,B77W,GE90-115B,6137.792934575513,95402.96500189608,301473.36940599163,0.0217702119119453,4494.227547120748,14201.759048901562,EY3258,2026-05-29,1,,False,0.0,552401.36,561.49,0.516011550450491,94.87904301789636,Distance_km,1.0,0.0,0.0,6137.792934575513,0.0,PASS,368.0,299,2258707.7999237888,1806966.2399390312,216835.9487926837,0.12,,,,,,,,,,,,,,,,0.8138425932889624
OBBI,OMDB,B77W,GE90-115B,487.057574374108,7356.059196217703,23245.147060047944,0.0437313290540735,347.6625576722909,1098.6136822444394,EY8318,2026-04-07,1,,False,0.0,43835.18,547.37,0.5383411084485394,95.56674917788014,Distance_km,1.0,0.0,0.0,487.057574374108,0.0,PASS,368.0,292,179237.18736967174,143389.74989573742,17206.76998748849,0.12,,,,,,,,,,,,,,,,0.7924914325014083
OEDF,OMDB,B77W,GE90-115B,573.1578950522307,8656.437404144139,27354.34219709548,0.036218126873115,409.48596601016976,1293.9756525921364,EY3608,2027-01-26,1,,False,0.0,51584.21,547.86,0.5274819018154872,95.93780488141071,Distance_km,1.0,0.0,0.0,573.1578950522307,0.0,PASS,368.0,296,210922.1053792209,168737.68430337674,20248.52211640521,0.12,,,,,,,,,,,,,,,,0.8040305272969969
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0637020349527393,2146.1450091073875,6781.818228779344,EY6016,2025-03-28,1,,False,0.0,273669.9,541.22,0.5439190179505958,97.08387659281516,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,313,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,,0.8500718989882959
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,32979.01141326143,104213.67606590613,0.0585974599093733,1540.2781859229635,4867.279067516565,EY2235,2025-03-10,1,,False,0.0,196523.83,540.91,0.5090087975664492,93.75143374907556,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,309,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,,0.8389991045318884
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.062019172025973,616.9208388195156,1949.4698506696693,EY9897,2025-06-07,1,,False,0.0,78570.74,541.89,0.524427189969819,93.67981826430656,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,314,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.8525386028977829
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.047230684297632,620.6096047485779,1961.1263510055057,EY2390,2027-03-22,1,,False,0.0,78570.74,545.13,0.5395659308153635,96.8390149139557,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,320,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.8694153086798782
HKJK,OMDB,B77W,GE90-115B,3559.243502013245,53755.46397817086,169867.26617101993,0.042747590600079,2540.4414483803957,8027.79497688205,EY2022,2025-11-03,1,,False,0.0,320331.92,547.33,0.5292845404275831,97.76949246805154,Distance_km,1.0,0.0,0.0,3559.243502013245,0.0,PASS,368.0,322,1309801.608740874,1047841.2869926994,125740.95443912392,0.12,,,,,,,,,,,,,,,,0.8740301796887179
LSGG,OMDB,B77W,GE90-115B,4919.418583337711,74298.26824171317,234782.52764381364,0.022718679400099,3522.7548211397375,11131.905234801567,EY6187,2025-10-24,1,,False,0.0,442747.67,549.12,0.5371259024107655,97.43094187980414,Distance_km,1.0,0.0,0.0,4919.418583337711,0.0,PASS,368.0,281,1810346.038668278,1448276.8309346223,173793.21971215468,0.12,,,,,,,,,,,,,,,,0.7627853808864914
FSIA,OMDB,B77W,GE90-115B,3327.785125963358,50259.73450949082,158820.761049991,0.0612500281654466,2376.750160446676,7510.530507011498,EY3885,2025-07-11,1,,False,0.0,299500.66,547.68,0.5522646551840138,97.86291479027877,Distance_km,1.0,0.0,0.0,3327.785125963358,0.0,PASS,368.0,291,1224624.9263545158,979699.9410836129,117563.99293003352,0.12,,,,,,,,,,,,,,,,0.7906819851685888
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0205310593002977,615.9863921194755,1946.5169990975426,EY6332,2026-11-15,1,,False,0.0,78570.74,541.07,0.512701692419026,93.95517772810828,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,321,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.8729697204105694
OLBA,OMDB,B77W,GE90-115B,2140.680300053112,32330.82049407273,102165.39276126985,0.0406248710876749,1525.9176922599916,4821.899907541573,EY8938,2025-12-06,1,,False,0.0,192661.23,546.61,0.5517384358660502,97.82527002857644,Distance_km,1.0,0.0,0.0,2140.680300053112,0.0,PASS,368.0,294,787770.3504195453,630216.2803356363,75625.95364027636,0.12,,,,,,,,,,,,,,,,0.8001617006395755
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,40705.11725711036,128628.17053246874,0.0697960571810648,1930.3407152085895,6099.876660059143,EY9154,2025-11-04,1,,False,0.0,242564.15,549.23,0.5126747181964555,93.48544966222632,Distance_km,1.0,0.0,0.0,2695.157168672011,0.0,PASS,368.0,291,991817.8380713,793454.27045704,95214.5124548448,0.12,,,,,,,,,,,,,,,,0.7914262610620475
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0297368610029754,2150.4443670271853,6795.404199805906,EY1874,2027-04-04,1,,False,0.0,273669.9,542.31,0.5241344831029058,93.50743180772528,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,280,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,,0.7598572676353984
VOTV,OMDB,B77W,GE90-115B,2947.103527071604,45808.390352552975,144754.5135140674,0.0397125435338479,2156.2585244358193,6813.776937217189,EY9431,2025-04-04,1,,False,0.0,265239.32,561.06,0.5543514656086058,97.85356317334572,Distance_km,1.0,0.0,0.0,2947.103527071604,0.0,PASS,368.0,293,1084534.09796235,867627.2783698803,104115.27340438565,0.12,,,,,,,,,,,,,,,,0.7963493566914523
LTFM,OMDB,B77W,GE90-115B,3028.340480393419,45737.20441305712,144529.56594526052,0.0357000493787869,2143.5249991073047,6773.538997179083,EY5894,2027-03-15,1,,False,0.0,272550.64,542.78,0.5180670608292846,94.60014731626003,Distance_km,1.0,0.0,0.0,3028.340480393419,0.0,PASS,368.0,313,1114429.296784778,891543.4374278226,106985.21249133872,0.12,,,,,,,,,,,,,,,,0.851137619462
OLBA,OMDB,B77W,GE90-115B,2140.680300053112,32330.82049407273,102165.39276126985,0.0669184117394569,1518.750443141567,4799.251400327353,EY8141,2026-11-13,1,,False,0.0,192661.23,544.05,0.5169266584561991,94.57286255156342,Distance_km,1.0,0.0,0.0,2140.680300053112,0.0,PASS,368.0,321,787770.3504195453,630216.2803356363,75625.95364027636,0.12,,,,,,,,,,,,,,,,0.8716076306511839
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,39586.38219479429,125092.96773554996,0.0256674788160941,1873.7774897836211,5921.136867716243,EY2818,2025-11-17,1,,False,247.49104235080443,229212.7,564.19,0.5071100059559617,93.40717912288753,Distance_km,0.9028,156.41,0.0,2299.3167736933333,156.41,PASS,368.0,278,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,,,,,,,,,,,,,,,,0.7567508309358989
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13569.629391577411,42880.02887738463,0.0569455312659992,635.5526446806365,2008.3463571908117,EY8359,2025-10-04,1,,False,50.61600844733496,78570.74,558.26,0.5220390759006481,92.956282830893,Distance_km,0.942,31.99,0.0,822.3922403295952,31.99,PASS,368.0,292,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,,0.7923842914303487
EGBB,OMDB,B77W,GE90-115B,5603.408765882395,84628.61220340214,267426.4145627508,0.0215709290801259,3986.2976195453152,12596.7004777632,EY3702,2026-12-28,1,,False,0.0,504306.79,545.53,0.5238081004723686,93.1476135759012,Distance_km,1.0,0.0,0.0,5603.408765882395,0.0,PASS,368.0,283,2062054.4258447213,1649643.5406757772,197957.22488109325,0.12,,,,,,,,,,,,,,,,0.7702424830478333
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0469327066191327,2181.2023841850128,6892.59953402464,EY9226,2026-04-22,1,,False,0.0,273669.9,550.06,0.5376510721412098,95.82706405213362,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,309,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,,0.8388922178168963
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0591462293750555,2149.0872607115325,6791.115743848442,EY1726,2025-05-05,1,,False,0.0,273669.9,541.96,0.5376510721412098,95.82706405213362,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,286,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,,0.7770668828213605
OBBI,OMDB,B77W,GE90-115B,487.057574374108,7356.059196217703,23245.147060047944,0.0272404411999518,345.9132192916636,1093.085772961657,EY8278,2025-11-25,1,,False,30.10656881706168,43835.18,544.61,0.5165617432024364,92.09006226315547,Distance_km,0.9382,19.03,0.0,456.9510055570464,19.03,PASS,368.0,278,179237.18736967174,143389.74989573742,17206.76998748849,0.12,,,,,,,,,,,,,,,,0.7549825745110983
OKBK,OMDB,B77W,GE90-115B,853.9770187554841,13273.816907997005,41945.26142927054,0.0617637192294649,625.9101626962319,1977.8761141200928,EY8539,2026-02-12,1,,False,0.0,76857.93,562.04,0.5309540213948388,97.85812809124288,Distance_km,1.0,0.0,0.0,853.9770187554841,0.0,PASS,368.0,314,314263.5429020182,251410.83432161456,30169.300118593743,0.12,,,,,,,,,,,,,,,,0.8538120231370304
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0294698907956451,1608.8977016728568,5084.116737286229,EY9625,2025-06-05,1,,False,0.0,196523.83,565.01,0.5375144571367793,97.9411748173654,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,322,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,,0.8751229883797387
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0235023489635647,1590.2220428098317,5025.101655279067,EY9468,2025-08-16,1,,False,0.0,196523.83,558.45,0.5145299062942363,94.88829017322132,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,288,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,,0.7823133561251983
